Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
MAD Lions Madrid,S10,ES,60,53.30%,1.15,1735,18,09:20:00,13.7,11.9,6.4,6,60,55,2.62,52.2,1.02,51.7,0.95,0.2,223,0.68,56.7,30.8,1864,3.3,1.45,1.36
Mammoth,S10,OCE,42,23.80%,0.56,1611,-240,06:53:00,9.1,16.2,3.7,7.8,33.3,42.9,1.79,37,0.64,32.1,0.83,-0.5,-1685,0.43,31.5,30,1673,3.2,1.35,1.2
Misfits Gaming,S10,EUW,40,45.00%,0.87,1728,-39,09:41:00,10.8,12.4,5.6,6.9,47.5,40,2.23,46.8,1.05,52.5,1.05,-0.3,-236,0.83,49.1,31.9,1706,3.2,1.24,1.32
Misfits Premier,S10,FR,66,65.20%,1.34,1819,118,08:57:00,16.6,12.4,7,5.3,62.1,45.5,2.65,58.1,0.97,50.8,1.12,0.1,645,0.74,58.3,31.5,2017,3.1,1.22,1.29
Mkers,S10,IT,27,63.00%,1.25,1835,202,06:40:00,14.5,11.6,7.6,4,63,74.1,2.48,59.7,1.67,83.3,1.3,0.8,2012,0.78,66.7,32,1912,3.2,1.17,1.32
MOBA ROG,S10,IT,14,7.10%,0.47,1555,-408,07:40:00,10.5,22.4,1.6,9.6,14.3,28.6,1.29,26.1,0.43,21.4,0.57,-1.4,-3622,0.07,3.6,28.3,1806,2.7,1.07,0.9
Mousesports,S10,DE,87,65.50%,1.24,1847,132,07:16:00,16.2,13,7.4,4.9,40.2,63.2,2.38,52.6,1.25,63.4,0.99,0.6,1369,0.71,57.3,31.9,2111,3.4,1.33,1.24
Movistar Academy,S10,EUW,5,60.00%,0.88,1716,-105,11:06:00,15.6,19.2,5.6,5.8,60,20,2.2,38.7,0.8,40,0.8,-1.8,-2095,0.4,50,41.1,3089,4.3,1.57,1.57
Movistar Riders,S10,ES,77,70.10%,1.31,1825,140,09:13:00,15.4,11.7,7.4,4.4,64.9,63.6,3.25,67.3,1.39,70.4,1.29,0.4,856,0.7,60.1,32.3,2067,3.4,1.33,1.42
mYinsanity,S10,DE,36,22.20%,0.65,1641,-244,06:46:00,10.9,17.5,3.8,8.4,52.8,25,1.78,39,0.64,32.9,0.89,-0.9,-2135,0.36,26,29.8,1837,3,1.19,1.1
neXtPlease! Gaming,S10,RO,12,83.30%,1.66,1893,298,06:26:00,19.1,11.4,8.6,2.4,66.7,66.7,3.75,77.5,1.25,62.5,1.5,0.8,2176,1,72.7,30.8,2098,2.6,0.98,0.91
Nexus Gaming,S10,RO,13,61.50%,1.13,1719,59,11:20:00,14.5,12.8,5.8,5.6,23.1,53.8,2.92,51.5,0.77,38.5,1.31,0.7,473,0.92,55.1,29.3,1994,2.5,0.84,1
Nova Esports,S10,PCS,47,34.00%,0.75,1684,-81,08:56:00,10,13.3,5.1,6.8,31.9,40.4,1.81,36.6,0.96,48.9,0.6,0.1,-109,0.49,37,32,1705,3.3,1.18,1.51
OFFSET Esports,S10,PT,24,58.30%,1.06,1706,-19,07:39:00,14.2,13.3,6,5.5,50,29.2,2.42,50.4,0.79,39.6,1.08,-0.5,-1130,0.63,59.5,29.4,1955,3.1,1.29,1.14
OMG,S10,CN,83,41.00%,0.81,1729,-65,07:55:00,11.2,13.7,5.1,6.6,24.1,14.5,2.1,44.7,0.46,48.8,0.85,-0.3,-550,0.55,42.5,32.2,1767,3.3,1.21,1.42
One Breath Gaming,S10,CIS,17,52.90%,0.95,1704,-37,07:21:00,12,12.6,5.5,6.1,41.2,29.4,2.41,51.2,1.06,60,0.93,-0.7,-861,0.47,47.6,30.7,1754,3.1,1.3,1.18
OP innogy eSport,S10,DE,44,38.60%,0.82,1676,-145,07:35:00,13.5,16.4,4.9,7.3,38.6,38.6,2.52,52.1,0.82,41.9,1.23,-0.6,-1154,0.52,41.3,28.8,2011,2.9,1.18,1.18
Order,S10,OCE,67,59.70%,1.12,1769,76,08:09:00,13.4,11.9,6.4,5,52.2,50.7,2.79,59.3,1.13,57.5,1.31,0.2,551,0.66,53.3,32.3,1892,3,1.36,1.34
Origen,S10,EUW,48,50.00%,1.15,1729,24,11:01:00,12.1,10.5,6.5,5.9,50,39.6,2.23,45.5,0.98,51.1,0.58,0.1,291,0.73,54.7,31.8,1909,3.6,1.25,1.44
Outplayed,S10,IT,42,57.10%,1.18,1741,45,08:23:00,15.9,13.4,6.5,5.7,50,59.5,2.76,56.3,0.98,48.8,1.02,0.3,714,0.71,53.7,29.3,1981,3.2,1.21,1.21
OverPower Esports,S10,VN,33,24.20%,0.68,1716,-203,05:30:00,12.3,18.1,3.8,7.7,39.4,42.4,1.97,44.3,0.73,36.4,1.03,-0.3,-986,0.33,26.4,31.6,1836,3.2,1.32,1.21
OZ Gaming,S10,KR,78,44.90%,0.97,1697,-28,09:46:00,11.2,11.6,5.6,6.4,56.4,42.3,2.31,46.5,0.99,50.6,1.08,-0.2,-200,0.63,47.3,31.2,1836,3.4,1.45,1.55
